Class,Course,Title,Section,Type,Days,Time,Room,Location,Instructor (*) Additional Instructor,Status
21687,MGO 230LEC,Creativity & Leader For Entrep,S1O,LEC,T R, 12:30 PM - 1:50 PM,Clemen 102,North Campus, Murdock,Open
14595,MGO 302LEC,Productn & Operatns Mgmt,A,LEC,TBA, TBA,Remote,Remote, Braunscheidel,Open
11343,MGO 302LEC,Productn & Operatns Mgmt,S1O,LEC,T R, 12:30 PM - 1:50 PM,Jacobs 106,North Campus, Braunscheidel,Closed
16534,MGO 304LEC,Service Operations Management,S1O,LEC,T R, 2:00 PM - 3:20 PM,Jacobs 112,North Campus, Wei,Open
16535,MGO 304LEC,Service Operations Management,S2O,LEC,T R, 12:30 PM - 1:50 PM,Jacobs 112,North Campus, Wei,Open
11266,MGO 330LEC,Entrepreneurship & Sm Bus,S1O,LEC,T R, 3:30 PM - 4:50 PM,Knox 04,North Campus, Murdock,Open w/ Reserves
19647,MGO 330LEC,Entrepreneurship & Sm Bus,S2O,LEC,T R, 12:30 PM - 1:50 PM,Remote,Remote, Star,Open w/ Reserves
20453,MGO 330LEC,Entrepreneurship & Sm Bus,S3O,LEC,T R, 2:00 PM - 3:20 PM,Nsc 222,North Campus, Krzan,Open w/ Reserves
21688,MGO 363LEC,Finance For Entrepreneurs,S1O,LEC,T R, 3:30 PM - 4:50 PM,Jacobs 112,North Campus, Neubert,Open
16337,MGO 365SEM,Tech Entrep,S1O,SEM,T R, 5:00 PM - 6:20 PM,Norton 218,North Campus, Neubert,Open
20454,MGO 365SEM,Tech Entrep,S2O,SEM,M W, 5:00 PM - 6:20 PM,Jacobs 112,North Campus, Neubert,Open
<<<>>>,MGO 403LR,Fund Of Strategic Mgt,A,LEC,TBA, TBA,Remote,Remote, Krupski,Open
14317,MGO 403LR,Fund Of Strategic Mgt,A1,REC,M, 4:00 PM - 4:50 PM,Alumni 88,North Campus, Staff,Closed
20920,MGO 403LR,Fund Of Strategic Mgt,A10,REC,F, 10:00 AM - 10:50 AM,Park 143,North Campus, Staff,Open
20921,MGO 403LR,Fund Of Strategic Mgt,A11,REC,F, 11:00 AM - 11:50 AM,Alumni 90,North Campus, Staff,Closed
20922,MGO 403LR,Fund Of Strategic Mgt,A12,REC,F, 12:00 PM - 12:50 PM,Alumni 90,North Campus, Staff,Open
20923,MGO 403LR,Fund Of Strategic Mgt,A13,REC,F, 1:00 PM - 1:50 PM,Alumni 90,North Campus, Staff,Closed
20925,MGO 403LR,Fund Of Strategic Mgt,A15,REC,F, 1:00 PM - 1:50 PM,Capen 260,North Campus, Staff,Open
16079,MGO 403LR,Fund Of Strategic Mgt,A2,REC,W, 4:00 PM - 4:50 PM,Norton 213,North Campus, Staff,Closed
11154,MGO 403LR,Fund Of Strategic Mgt,A3,REC,M, 3:00 PM - 3:50 PM,Jacobs B32,North Campus, Staff,Closed
17813,MGO 403LR,Fund Of Strategic Mgt,A4,REC,M, 5:30 PM - 6:20 PM,Park 146,North Campus, Staff,Closed
11207,MGO 403LR,Fund Of Strategic Mgt,A5,REC,M, 12:30 PM - 1:20 PM,Obrian 210,North Campus, Staff,Closed
11166,MGO 403LR,Fund Of Strategic Mgt,A6,REC,W, 12:30 PM - 1:20 PM,Norton 214,North Campus, Staff,Open
11177,MGO 403LR,Fund Of Strategic Mgt,A7,REC,M, 2:00 PM - 2:50 PM,Clemen 04,North Campus, Staff,Closed
14997,MGO 403LR,Fund Of Strategic Mgt,A8,REC,W, 2:00 PM - 2:50 PM,Frnczk 408,North Campus, Staff,Closed
20919,MGO 403LR,Fund Of Strategic Mgt,A9,REC,F, 9:00 AM - 9:50 AM,Bell 138,North Campus, Staff,Closed
<<<>>>,MGO 403LR,Fund Of Strategic Mgt,B,LEC,T R, 11:00 AM - 11:50 AM,Jacobs 106,North Campus, Krupski,Closed
11180,MGO 403LR,Fund Of Strategic Mgt,B1,REC,T, 12:30 PM - 1:20 PM,Talbrt 111,North Campus, Staff,Open
17914,MGO 403LR,Fund Of Strategic Mgt,B2,REC,W, 11:00 AM - 11:50 AM,Alumni 90,North Campus, Staff,Closed
<<<>>>,MGO 403LR,Fund Of Strategic Mgt,HON,LEC,T R, 4:00 PM - 5:20 PM,Jacobs B32,North Campus, Ptak,Open
22024,MGO 403LR,Fund Of Strategic Mgt,HON1,REC,TBA, TBA,ARR,North Campus, Ptak,Open w/ Reserves
21696,MGO 432LEC,Strategic Quality Management,S1O,LEC,M W, 3:30 PM - 4:50 PM,Frnczk 454,North Campus, Lin,Open
18786,MGO 438LEC,Logistics Management,S1O,LEC,W, 6:30 PM - 9:10 PM,Knox 14,North Campus, Wei,Open
20456,MGO 439LEC,Sustainable Operations Mgmt,S1O,LEC,T R, 11:00 AM - 12:20 PM,Clemen 202,North Campus, Vedantam,Open
11345,MGO 450LEC,Business Forecasting,S1O,LEC,M W, 10:00 AM - 11:20 AM,Norton 213,North Campus, Lin,Closed
23362,MGO 463SEM,The Entrepreneurship Lab,S1O,SEM,M W, 5:00 PM - 6:20 PM,Jacobs 110,North Campus, Krzan,Open
<<<>>>,MGQ 201LR,Intro To Stats For Analytics,A,LEC,TBA, TBA,Remote,Remote, Amo,Open
14173,MGQ 201LR,Intro To Stats For Analytics,A1,REC,M, 9:00 AM - 9:50 AM,Jacobs B34,North Campus, Staff,Open
13193,MGQ 201LR,Intro To Stats For Analytics,A10,REC,T, 10:00 AM - 10:50 AM,Jacobs B34,North Campus, Staff,Closed
13195,MGQ 201LR,Intro To Stats For Analytics,A11,REC,T, 11:00 AM - 11:50 AM,Jacobs B34,North Campus, Staff,Closed
13196,MGQ 201LR,Intro To Stats For Analytics,A12,REC,T, 1:00 PM - 1:50 PM,Jacobs B34,North Campus, Staff,Closed
14139,MGQ 201LR,Intro To Stats For Analytics,A2,REC,M, 10:00 AM - 10:50 AM,Jacobs B34,North Campus, Staff,Closed
14148,MGQ 201LR,Intro To Stats For Analytics,A3,REC,M, 11:00 AM - 11:50 AM,Jacobs B34,North Campus, Staff,Closed
14106,MGQ 201LR,Intro To Stats For Analytics,A4,REC,M, 4:00 PM - 4:50 PM,Jacobs B34,North Campus, Staff,Closed
14107,MGQ 201LR,Intro To Stats For Analytics,A5,REC,M, 2:00 PM - 2:50 PM,Jacobs B34,North Campus, Staff,Closed
14116,MGQ 201LR,Intro To Stats For Analytics,A6,REC,M, 3:00 PM - 3:50 PM,Jacobs B34,North Campus, Staff,Closed
14130,MGQ 201LR,Intro To Stats For Analytics,A9,REC,T, 9:00 AM - 9:50 AM,Jacobs B34,North Campus, Staff,Open
<<<>>>,MGQ 201LR,Intro To Stats For Analytics,B,LEC,TBA, TBA,Remote,Remote, Amo,Open
13057,MGQ 201LR,Intro To Stats For Analytics,B14,REC,W, 7:00 PM - 7:50 PM,Jacobs 214,North Campus, Staff,Open
14074,MGQ 201LR,Intro To Stats For Analytics,B2,REC,T, 3:00 PM - 3:50 PM,Jacobs B34,North Campus, Staff,Closed
14078,MGQ 201LR,Intro To Stats For Analytics,B3,REC,T, 6:00 PM - 6:50 PM,Jacobs B34,North Campus, Staff,Closed
14082,MGQ 201LR,Intro To Stats For Analytics,B4,REC,T, 7:00 PM - 7:50 PM,Jacobs B34,North Campus, Staff,Open
14034,MGQ 201LR,Intro To Stats For Analytics,B5,REC,W, 9:00 AM - 9:50 AM,Jacobs B34,North Campus, Staff,Open
14036,MGQ 201LR,Intro To Stats For Analytics,B6,REC,W, 10:00 AM - 10:50 AM,Jacobs B34,North Campus, Staff,Closed
14041,MGQ 201LR,Intro To Stats For Analytics,B7,REC,W, 11:00 AM - 11:50 AM,Jacobs B34,North Campus, Staff,Closed
14043,MGQ 201LR,Intro To Stats For Analytics,B8,REC,W, 4:00 PM - 4:50 PM,Jacobs B30,North Campus, Staff,Closed
<<<>>>,MGQ 201LR,Intro To Stats For Analytics,C,LEC,R, 11:00 AM - 12:20 PM,Remote,North Campus, Amo,Open
14058,MGQ 201LR,Intro To Stats For Analytics,C1,REC,W, 3:00 PM - 3:50 PM,Jacobs B34,North Campus, Staff,Closed
14060,MGQ 201LR,Intro To Stats For Analytics,C2,REC,W, 6:00 PM - 6:50 PM,Jacobs B30,North Campus, Staff,Open
<<<>>>,MGQ 301LR,Stat Decisions In Mgt,A,LEC,TBA, TBA,Remote,Remote, Cichocki,Open
20945,MGQ 301LR,Stat Decisions In Mgt,A1,REC,M, 9:00 AM - 9:50 AM,Jacobs B30,North Campus, Staff,Open
20954,MGQ 301LR,Stat Decisions In Mgt,A10,REC,M, 2:00 PM - 2:50 PM,Jacobs B30,North Campus, Staff,Closed
20955,MGQ 301LR,Stat Decisions In Mgt,A11,REC,T, 2:00 PM - 2:50 PM,Jacobs B34,North Campus, Staff,Open
22052,MGQ 301LR,Stat Decisions In Mgt,A13,REC,W, 9:00 AM - 9:50 AM,Jacobs B30,North Campus, Staff,Open
22054,MGQ 301LR,Stat Decisions In Mgt,A14,REC,W, 10:00 AM - 10:50 AM,Jacobs B30,North Campus, Staff,Open
22055,MGQ 301LR,Stat Decisions In Mgt,A15,REC,W, 11:00 AM - 11:50 AM,Jacobs B30,North Campus, Staff,Open
22056,MGQ 301LR,Stat Decisions In Mgt,A16,REC,W, 1:00 PM - 1:50 PM,Jacobs B30,North Campus, Staff,Closed
22057,MGQ 301LR,Stat Decisions In Mgt,A17,REC,T, 7:00 PM - 7:50 PM,Jacobs 214,North Campus, Staff,Open
20946,MGQ 301LR,Stat Decisions In Mgt,A2,REC,M, 10:00 AM - 10:50 AM,Jacobs B30,North Campus, Staff,Open
20947,MGQ 301LR,Stat Decisions In Mgt,A3,REC,M, 11:00 AM - 11:50 AM,Jacobs B30,North Campus, Staff,Open
20948,MGQ 301LR,Stat Decisions In Mgt,A4,REC,M, 1:00 PM - 1:50 PM,Jacobs B30,North Campus, Staff,Open
20949,MGQ 301LR,Stat Decisions In Mgt,A5,REC,M, 3:00 PM - 3:50 PM,Jacobs B30,North Campus, Staff,Open
20950,MGQ 301LR,Stat Decisions In Mgt,A6,REC,M, 5:30 PM - 6:20 PM,Jacobs 214,Remote, Staff,Open
20952,MGQ 301LR,Stat Decisions In Mgt,A8,REC,T, 10:00 AM - 10:50 AM,Jacobs B30,North Campus, Staff,Open
20953,MGQ 301LR,Stat Decisions In Mgt,A9,REC,T, 11:00 AM - 11:50 AM,Jacobs B30,North Campus, Staff,Open
<<<>>>,MGQ 301LR,Stat Decisions In Mgt,B,LEC,R, 9:30 AM - 10:50 AM,Remote,Remote, Cichocki,Open
20957,MGQ 301LR,Stat Decisions In Mgt,B1,REC,W, 3:00 PM - 3:50 PM,Jacobs B30,North Campus, Staff,Open
20958,MGQ 301LR,Stat Decisions In Mgt,B2,REC,W, 5:00 PM - 5:50 PM,Jacobs B30,North Campus, Staff,Open
17564,MGQ 408LEC,Bus. Analytics & Data Science,S1Q,LEC,M W, 5:00 PM - 6:20 PM,Jacobs 122,North Campus, Kraude,Open w/ Reserves
19813,MGQ 496TUT,Data Analytics Internship,S1Q,TUT,TBA, TBA,ARR,Off Campus (US Only), Bemiller,Closed
<<<>>>,MGS 102LR,Info Technology & Mgmt Ii,A,LEC,T R, 3:30 PM - 4:50 PM,Frnczk 454,North Campus, Cleary,Open
18780,MGS 102LR,Info Technology & Mgmt Ii,A1,REC,F, 3:00 PM - 3:50 PM,Jacobs 214,North Campus, Cleary,Closed
19540,MGS 102LR,Info Technology & Mgmt Ii,A2,REC,F, 4:00 PM - 4:50 PM,Jacobs 214,North Campus, Cleary,Closed
24026,MGS 102LR,Info Technology & Mgmt Ii,A3,REC,F, 1:00 PM - 1:50 PM,Jacobs 214,North Campus, Cleary,Open
<<<>>>,MGS 351LR,Intro To Mgmt Info Systms,A,LEC,TBA, TBA,Remote,Remote, Murray,Open
14167,MGS 351LR,Intro To Mgmt Info Systms,A1,REC,R, 9:00 AM - 9:50 AM,Jacobs B34,North Campus, Staff,Open
13192,MGS 351LR,Intro To Mgmt Info Systms,A10,REC,R, 5:00 PM - 5:50 PM,Jacobs B30,North Campus, Staff,Closed
13194,MGS 351LR,Intro To Mgmt Info Systms,A11,REC,F, 4:00 PM - 4:50 PM,Jacobs B34,North Campus, Staff,Open
13197,MGS 351LR,Intro To Mgmt Info Systms,A12,REC,F, 8:00 AM - 8:50 AM,Jacobs B34,North Campus, Staff,Open
13198,MGS 351LR,Intro To Mgmt Info Systms,A13,REC,R, 8:00 AM - 8:50 AM,Jacobs B34,North Campus, Staff,Open
13200,MGS 351LR,Intro To Mgmt Info Systms,A14,REC,W, 4:00 PM - 4:50 PM,Jacobs B34,North Campus, Staff,Closed
14140,MGS 351LR,Intro To Mgmt Info Systms,A2,REC,F, 11:00 AM - 11:50 AM,Jacobs 214,North Campus, Staff,Closed
14150,MGS 351LR,Intro To Mgmt Info Systms,A3,REC,F, 9:00 AM - 9:50 AM,Jacobs B34,North Campus, Staff,Open
14103,MGS 351LR,Intro To Mgmt Info Systms,A4,REC,F, 10:00 AM - 10:50 AM,Jacobs B34,North Campus, Staff,Closed
14109,MGS 351LR,Intro To Mgmt Info Systms,A5,REC,F, 12:00 PM - 12:50 PM,Jacobs B34,North Campus, Staff,Open
14114,MGS 351LR,Intro To Mgmt Info Systms,A6,REC,F, 1:00 PM - 1:50 PM,Jacobs B34,North Campus, Staff,Open
14122,MGS 351LR,Intro To Mgmt Info Systms,A7,REC,F, 2:00 PM - 2:50 PM,Jacobs B34,North Campus, Staff,Open
14127,MGS 351LR,Intro To Mgmt Info Systms,A8,REC,F, 3:00 PM - 3:50 PM,Jacobs B34,North Campus, Staff,Open
14129,MGS 351LR,Intro To Mgmt Info Systms,A9,REC,R, 4:00 PM - 4:50 PM,Capen 201A,North Campus, Staff,Closed
<<<>>>,MGS 351LR,Intro To Mgmt Info Systms,N,LEC,R, 3:30 PM - 6:20 PM,Jacobs 106,North Campus, Murray,Open
13723,MGS 351LR,Intro To Mgmt Info Systms,N1,REC,M, 5:30 PM - 6:20 PM,Jacobs B34,North Campus, Staff,Closed
13724,MGS 351LR,Intro To Mgmt Info Systms,N2,REC,W, 5:30 PM - 6:20 PM,Jacobs B34,North Campus, Staff,Open
11271,MGS 405LEC,Systems Anal & Design,S1S,LEC,T R, 11:00 AM - 12:20 PM,Frnczk 454,North Campus, Katerinsky,Closed
17056,MGS 405LEC,Systems Anal & Design,S2S,LEC,T R, 12:30 PM - 1:50 PM,Frnczk 454,North Campus, Katerinsky,Closed
22098,MGS 405LEC,Systems Anal & Design,S3S,LEC,T, 5:00 PM - 7:40 PM,Alfier 104,North Campus, Agrawal,Open
23480,MGS 406LEC,Big Data Technologies,S1S,LEC,F, 1:00 PM - 3:40 PM,Jacobs 110,North Campus, Wang,Open
20527,MGS 407LEC,Cybersecurity,S1S,LEC,M W, 12:30 PM - 1:50 PM,Obrian 209,North Campus, Katerinsky,Open
16382,MGS 410LEC,Digital Forensics,S1S,LEC,T R, 3:30 PM - 4:50 PM,Norton 218,North Campus, Falahati,Closed
11273,MGS 425LEC,Mgmt Of It Projects,S1S,LEC,T, 6:30 PM - 9:10 PM,Frnczk 422,North Campus, Hjalmarson,Closed
17112,MGS 425LEC,Mgmt Of It Projects,S2S,LEC,W, 6:30 PM - 9:10 PM,Capen 262,North Campus, Hjalmarson,Closed
22109,MGS 425LEC,Mgmt Of It Projects,S3S,LEC,M, 4:00 PM - 6:40 PM,Alfier 102,North Campus, Perkins,Open
20995,MGS 426LEC,Tech Consulting For Soc Impact,S1S,LEC,M, 6:30 PM - 9:10 PM,Jacobs B30,North Campus, Franasiak,Open
22166,MGS 427LEC,Systems Security,S1S,LEC,R, 6:30 PM - 9:30 PM,Jacobs B30,North Campus, Cleary,Open
19534,MGS 439LEC,"Cybersecurity, Privacy & Ethic",S1S,LEC,M W, 11:00 AM - 12:20 PM,Frnczk 422,North Campus, Cleary,Closed
11275,MGS 496TUT,Mis Internship,S1S,TUT,TBA, TBA,ARR,Off Campus (US Only), Bemiller,Closed
11276,MGS 499TUT,Independent Study,S1S,TUT,TBA, TBA,ARR,Arranged, Murray,Closed
11248,MGS 499TUT,Independent Study,S2S,TUT,TBA, TBA,ARR,Arranged, Sanders,Closed
11204,MGS 499TUT,Independent Study,S3S,TUT,TBA, TBA,ARR,Arranged, Staff,Closed
11151,MGS 499TUT,Independent Study,S4S,TUT,TBA, TBA,ARR,Arranged, Staff,Closed
23381,MDI 210LEC,Chemical Design Of Materials,000,LEC,T R, 11:00 AM - 12:20 PM,Talbrt 111,North Campus, Rajan,Open
23388,MDI 312LEC,Multiscale Design Of Materials,000,LEC,M W F, 9:00 AM - 9:50 AM,Capen 110,North Campus, Mazumder,Open
23393,MDI 322LEC,Materials Characterization Lab,000,LEC,T R, 9:30 AM - 10:50 AM,Talbrt 111,North Campus, Rajan  * Jia  * Seo,Open
23394,MDI 332LEC,Materials Thermodynamics,000,LEC,T R, 2:00 PM - 3:20 PM,Bell 337,North Campus, Nalam,Open
23395,MDI 336LEC,Kinetics Defects Transport,000,LEC,M W F, 10:00 AM - 10:50 AM,Capen 110,North Campus, Broderick,Open
<<<>>>,MTH 101LR,Intro To Contemporary Math,C,LEC,M W F, 10:00 AM - 10:50 AM,Clemen 322,North Campus, Mangahas Kutluhan,Closed
20479,MTH 101LR,Intro To Contemporary Math,C1,REC,M, 11:00 AM - 11:50 AM,Cooke 127B,North Campus, Staff,Closed
20480,MTH 101LR,Intro To Contemporary Math,C2,REC,M, 12:00 PM - 12:50 PM,Park 145,North Campus, Staff,Closed
13450,MTH 120LEC,Selected Calculus Topics,0,LEC,TBA, TBA,ARR,North Campus, Casper,Open w/ Reserves
<<<>>>,MTH 121LR,Surv Calculus & Appl 1,C,LEC,M W F, 10:00 AM - 10:50 AM,Nsc 222,North Campus, Casper,Open
16972,MTH 121LR,Surv Calculus & Appl 1,C1,REC,F, 11:00 AM - 11:50 AM,Park 146,North Campus, Staff,Open
16979,MTH 121LR,Surv Calculus & Appl 1,C2,REC,F, 12:00 PM - 12:50 PM,Talbrt 111,North Campus, Staff,Open
23319,MTH 121LR,Surv Calculus & Appl 1,C3,REC,F, 1:00 PM - 1:50 PM,Park 146,North Campus, Staff,Open
<<<>>>,MTH 121LR,Surv Calculus & Appl 1,D,LEC,M W F, 11:00 AM - 11:50 AM,Nsc 222,North Campus, Casper,Open
18080,MTH 121LR,Surv Calculus & Appl 1,D1,REC,W, 12:00 PM - 12:50 PM,Norton 213,North Campus, Staff,Closed
16973,MTH 121LR,Surv Calculus & Appl 1,D2,REC,W, 1:00 PM - 1:50 PM,Talbrt 113,North Campus, Staff,Open
23320,MTH 121LR,Surv Calculus & Appl 1,D3,REC,W, 2:00 PM - 2:50 PM,Norton 214,North Campus, Staff,Open
<<<>>>,MTH 121LR,Surv Calculus & Appl 1,G,LEC,M W F, 2:00 PM - 2:50 PM,Nsc 228,North Campus, Casper,Open
16975,MTH 121LR,Surv Calculus & Appl 1,G1,REC,M, 3:00 PM - 3:50 PM,Park 145,North Campus, Staff,Open
16980,MTH 121LR,Surv Calculus & Appl 1,G2,REC,M, 4:00 PM - 4:50 PM,Cooke 114,North Campus, Staff,Closed
16981,MTH 121LR,Surv Calculus & Appl 1,G3,REC,M, 5:00 PM - 5:50 PM,Bell 138,North Campus, Staff,Open
<<<>>>,MTH 121LR,Surv Calculus & Appl 1,H,LEC,M W F, 3:00 PM - 3:50 PM,Nsc 228,North Campus, Casper,Open
16977,MTH 121LR,Surv Calculus & Appl 1,H1,REC,M, 9:00 AM - 9:50 AM,Park 145,North Campus, Staff,Open
16978,MTH 121LR,Surv Calculus & Appl 1,H2,REC,M, 10:00 AM - 10:50 AM,Frnczk 408,North Campus, Staff,Open
23317,MTH 121LR,Surv Calculus & Appl 1,H3,REC,M, 11:00 AM - 11:50 AM,Clemen 19,North Campus, Staff,Open
<<<>>>,MTH 121LR,Surv Calculus & Appl 1,U,LEC,T R, 11:00 AM - 12:20 PM,Nsc 228,North Campus, Stephen,Open
21828,MTH 121LR,Surv Calculus & Appl 1,U1,REC,R, 12:30 PM - 1:20 PM,Talbrt 111,North Campus, Staff,Closed
21829,MTH 121LR,Surv Calculus & Appl 1,U2,REC,R, 2:00 PM - 2:50 PM,Capen 240,North Campus, Staff,Closed
23318,MTH 121LR,Surv Calculus & Appl 1,U3,REC,R, 3:30 PM - 4:20 PM,Talbrt 103,North Campus, Staff,Open
<<<>>>,MTH 122LR,Surv Calculus & Appl 2,T,LEC,T R, 9:30 AM - 10:50 AM,Alumni 97,North Campus, Hudson,Open
16989,MTH 122LR,Surv Calculus & Appl 2,T1,REC,T, 11:00 AM - 11:50 AM,Norton 214,North Campus, Staff,Open
16992,MTH 122LR,Surv Calculus & Appl 2,T2,REC,T, 12:30 PM - 1:20 PM,Obrian 212,North Campus, Staff,Open
23321,MTH 122LR,Surv Calculus & Appl 2,T3,REC,T, 2:00 PM - 2:50 PM,Obrian 12,North Campus, Staff,Open
<<<>>>,MTH 122LR,Surv Calculus & Appl 2,V,LEC,T R, 12:30 PM - 1:50 PM,Nsc 205,North Campus, Hudson,Open
16986,MTH 122LR,Surv Calculus & Appl 2,V1,REC,T, 2:00 PM - 2:50 PM,Cooke 248,North Campus, Staff,Closed
16987,MTH 122LR,Surv Calculus & Appl 2,V2,REC,T, 3:30 PM - 4:20 PM,Obrian 214,North Campus, Staff,Closed
16988,MTH 122LR,Surv Calculus & Appl 2,V3,REC,T, 5:00 PM - 5:50 PM,Talbrt 111,North Campus, Staff,Open
<<<>>>,MTH 122LR,Surv Calculus & Appl 2,X,LEC,T R, 3:30 PM - 4:50 PM,Nsc 222,North Campus, Hudson,Open
16990,MTH 122LR,Surv Calculus & Appl 2,X1,REC,T, 9:30 AM - 10:20 AM,Obrian 210,North Campus, Staff,Open
16991,MTH 122LR,Surv Calculus & Appl 2,X2,REC,T, 11:00 AM - 11:50 AM,Park 440,North Campus, Staff,Open
23322,MTH 122LR,Surv Calculus & Appl 2,X3,REC,T, 12:30 PM - 1:20 PM,Obrian 12,North Campus, Staff,Closed
<<<>>>,MTH 131LR,Math Analysis For Managemt,C,LEC,M W F, 10:00 AM - 10:50 AM,Nsc 228,North Campus, Raico,Open
20482,MTH 131LR,Math Analysis For Managemt,C1,REC,M, 11:00 AM - 11:50 AM,Park 145,North Campus, Staff,Open
16996,MTH 131LR,Math Analysis For Managemt,C2,REC,M, 12:00 PM - 12:50 PM,Talbrt 111,North Campus, Staff,Open
10443,MTH 131LR,Math Analysis For Managemt,C3,REC,M, 1:00 PM - 1:50 PM,Clemen 17,North Campus, Staff,Open
<<<>>>,MTH 131LR,Math Analysis For Managemt,D,LEC,M W F, 11:00 AM - 11:50 AM,Nsc 228,North Campus, Raico,Open
16075,MTH 131LR,Math Analysis For Managemt,D1,REC,M, 1:00 PM - 1:50 PM,Clemen 119,North Campus, Staff,Open
16997,MTH 131LR,Math Analysis For Managemt,D2,REC,M, 2:00 PM - 2:50 PM,Norton 214,North Campus, Staff,Open
16998,MTH 131LR,Math Analysis For Managemt,D3,REC,M, 3:00 PM - 3:50 PM,Cooke 114,North Campus, Staff,Open
<<<>>>,MTH 131LR,Math Analysis For Managemt,E,LEC,M W F, 12:00 PM - 12:50 PM,Nsc 210,North Campus, Marino,Closed
19225,MTH 131LR,Math Analysis For Managemt,E1,REC,F, 9:00 AM - 9:50 AM,Obrian 214,North Campus, Staff,Closed
19226,MTH 131LR,Math Analysis For Managemt,E2,REC,F, 10:00 AM - 10:50 AM,Obrian 212,North Campus, Staff,Closed
19227,MTH 131LR,Math Analysis For Managemt,E3,REC,F, 11:00 AM - 11:50 AM,Baldy 108,North Campus, Staff,Closed
<<<>>>,MTH 131LR,Math Analysis For Managemt,F,LEC,M W F, 1:00 PM - 1:50 PM,Nsc 210,North Campus, Marino,Closed
16995,MTH 131LR,Math Analysis For Managemt,F1,REC,W, 2:00 PM - 2:50 PM,Bell 337,North Campus, Staff,Closed
10438,MTH 131LR,Math Analysis For Managemt,F2,REC,W, 3:00 PM - 3:50 PM,Norton 210,North Campus, Staff,Closed
10439,MTH 131LR,Math Analysis For Managemt,F3,REC,W, 4:00 PM - 4:50 PM,Park 146,North Campus, Staff,Closed
<<<>>>,MTH 131LR,Math Analysis For Managemt,G,LEC,M W F, 2:00 PM - 2:50 PM,Nsc 210,North Campus, Marino,Closed
17411,MTH 131LR,Math Analysis For Managemt,G1,REC,W, 11:00 AM - 11:50 AM,Clemen 19,North Campus, Staff,Closed
17412,MTH 131LR,Math Analysis For Managemt,G2,REC,W, 12:00 PM - 12:50 PM,Clemen 04,North Campus, Staff,Closed
23367,MTH 131LR,Math Analysis For Managemt,G3,REC,W, 1:00 PM - 1:50 PM,Norton 213,North Campus, Staff,Closed
<<<>>>,MTH 131LR,Math Analysis For Managemt,I,LEC,M W F, 4:00 PM - 4:50 PM,Nsc 220,North Campus, Marino,Open
21842,MTH 131LR,Math Analysis For Managemt,I1,REC,F, 1:00 PM - 1:50 PM,Capen 109,North Campus, Staff,Open
21843,MTH 131LR,Math Analysis For Managemt,I2,REC,F, 2:00 PM - 2:50 PM,Capen 260,North Campus, Staff,Open
21844,MTH 131LR,Math Analysis For Managemt,I3,REC,F, 3:00 PM - 3:50 PM,Capen 109,North Campus, Staff,Closed
<<<>>>,MTH 141LR,College Calculus 1,F,LEC,M W F, 1:00 PM - 1:50 PM,Nsc 216,North Campus, Raico,Open
19558,MTH 141LR,College Calculus 1,F1,REC,M, 9:00 AM - 9:50 AM,Capen 260,North Campus, Staff,Open
19559,MTH 141LR,College Calculus 1,F2,REC,M, 10:00 AM - 10:50 AM,Norton 209,North Campus, Staff,Open
21871,MTH 141LR,College Calculus 1,F3,REC,M, 11:00 AM - 11:50 AM,Baldy 108,North Campus, Staff,Closed
<<<>>>,MTH 141LR,College Calculus 1,T,LEC,T R, 9:30 AM - 10:50 AM,Nsc 228,North Campus, Stephen,Open
23371,MTH 141LR,College Calculus 1,T1,REC,W, 1:00 PM - 1:50 PM,Baldy 108,North Campus, Staff,Open
23372,MTH 141LR,College Calculus 1,T2,REC,W, 2:00 PM - 2:50 PM,Park 440,North Campus, Staff,Open
23373,MTH 141LR,College Calculus 1,T3,REC,W, 3:00 PM - 3:50 PM,Norton 213,North Campus, Staff,Open
<<<>>>,MTH 141LR,College Calculus 1,UX,LEC,T R, 11:00 AM - 12:40 PM,Baldy 101,North Campus, Samul,Open
17001,MTH 141LR,College Calculus 1,UX1,REC,TBA, TBA,ARR,Arranged, Staff,Open
<<<>>>,MTH 141LR,College Calculus 1,V,LEC,T R, 12:30 PM - 1:50 PM,Nsc 228,North Campus, Stephen,Open
16077,MTH 141LR,College Calculus 1,V1,REC,W, 9:00 AM - 9:50 AM,Obrian 214,North Campus, Staff,Open
19566,MTH 141LR,College Calculus 1,V3,REC,W, 11:00 AM - 11:50 AM,Cooke 127B,North Campus, Staff,Open
<<<>>>,MTH 141LR,College Calculus 1,WX,LEC,T R, 2:00 PM - 3:40 PM,Baldy 101,North Campus, Samul,Open
16078,MTH 141LR,College Calculus 1,WX1,REC,TBA, TBA,ARR,Arranged, Staff,Open
<<<>>>,MTH 141LR,College Calculus 1,X,LEC,T R, 3:30 PM - 4:50 PM,Nsc 220,North Campus, Stephen,Open
18788,MTH 141LR,College Calculus 1,X2,REC,R, 11:00 AM - 11:50 AM,Capen 257,North Campus, Staff,Open
17002,MTH 141LR,College Calculus 1,X3,REC,R, 12:30 PM - 1:20 PM,Park 440,North Campus, Staff,Open
<<<>>>,MTH 142LR,College Calculus 2,B,LEC,M W F, 9:00 AM - 9:50 AM,Nsc 216,North Campus, Busch,Closed
17011,MTH 142LR,College Calculus 2,B1,REC,W, 10:00 AM - 10:50 AM,Clemen 04,North Campus, Staff,Closed
